Region,Subregion,Locality,Place,CollectingArea,Member,Formation,Order,Family,Subfamily,Tribe,GenusQualifier,Genus,SpeciesQualifier,Species,Subspecies,min_ma,max_ma,n_species,Delete
Tugen Hills,Tugen Hills,Chemeron (BPRP 145),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,gen,NA,sp,NA,1.6,5.3,3,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,melampus,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Hippopotamidae,Hippopotaminae,NA,NA,Archaeopotamus,NA,harvardi,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,Elephantini,NA,Elephas,NA,recki,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Antilopinae,Antilopini,NA,Gazella,NA,sp,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Hippotragus,NA,gigas,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,kob,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Suinae,NA,NA,Kolpochoerus,NA,heseloni,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Notochoerus,NA,euilus,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Nyanzachoerus,NA,sp,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Primates,Cercopithecidae,Cercopithecinae,Papionini,NA,Theropithecus,NA,baringensis,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 149),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,gen,NA,sp,NA,2.7,3.5,15,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Proboscidea,Gomphotheriidae,NA,NA,NA,Anancus,NA,ultimus,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Perissodactyla,Chalicotheriidae,Schizotheriinae,NA,NA,Ancylotherium,NA,hennigi,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Aceratheriinae,Teleoceratini,NA,Brachypotherium,NA,lewisi,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,sp,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Proboscidea,Deinotheriidae,Deinotheriinae,NA,NA,Deinotherium,NA,bozasi,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,sp,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Hippotraginae,Hippotragini,NA,Hippotragus,NA,sp,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Artiodactyla,Tragulidae,NA,NA,NA,Hyemoschus,NA,aquaticus,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,presigmoidalis,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,Loxodontini,NA,Loxodonta,NA,adaurora,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Nyanzachoerus,NA,kanamensis,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 15),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,gen,NA,sp,NA,5,5,16,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Perissodactyla,Chalicotheriidae,Schizotheriinae,NA,NA,Ancylotherium,NA,hennigi,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,sp,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Proboscidea,Deinotheriidae,Deinotheriinae,NA,NA,Deinotherium,NA,bozasi,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Antilopinae,Antilopini,NA,Eudorcas,NA,praethomsoni,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,kob,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Megalotragus,NA,sp,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Notochoerus,NA,euilus,NA,2.903,2.903,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 150),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Nyanzachoerus,NA,sp,NA,2.903,2.903,12,NA
